track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,timesig,popularity,duration_ms,year_released
5snEgy8RMnkJZqfwqD6svi,0.257,0.0851,5,-22.028,1,0.0399,0.935,0.582,0.349,0.0392,107.62,4,43,980506,1960
5oGTAeeyS6ju9zFrk56ckZ,0.299,0.0272,2,-21.701,0,0.0567,0.979,0.682,0.0887,0.0526,178.156,3,38,303160,1994
4FMI4Ln1LhyxGldkNXan5e,0.27,0.688,0,-16.305,1,0.0547,0.973,0.884,0.669,0.219,75.845,4,50,416840,1975
2bMQEHvIwor0kD6ewe34ue,0.389,0.844,2,-13.298,1,0.0438,0.000221,0.664,0.103,0.679,131.096,4,28,183601,1973
1jKOG02lqHnwYXHpyLF3Nd,0.626,0.455,1,-13.305,1,0.0319,0.265,0.895,0.0653,0.724,91.025,4,48,276506,1997
6Rqn2GFlmvmV4w9Ala0I1e,0.399,0.326,7,-9.239,0,0.0386,0.864,0.0,0.191,0.546,79.206,4,74,174000,1965
2Uyv4IymecQUPjKchJKC3R,0.449,0.141,8,-20.982,1,0.0407,0.782,0.235,0.116,0.311,124.658,4,36,185866,1990
6srjd0H3jKYSvTqqYm98SW,0.621,0.197,7,-14.483,1,0.0573,0.99,0.878,0.152,0.569,120.196,4,23,214000,1954
5gtNsD1eqLgfVKC9diMwgq,0.62,0.42,5,-15.481,0,0.0343,0.0129,0.81,0.0587,0.945,97.107,4,46,349933,1986
022odEBLFu7Ryy7H3A6tkF,0.657,0.494,7,-11.993,1,0.0252,0.32,0.852,0.0435,0.313,92.064,4,43,310893,1997
7f6AAixCrVar1ZY7RPHDfM,0.496,0.0688,4,-14.927,0,0.0545,0.964,0.00229,0.112,0.161,119.898,4,61,178573,1955
